"Timestamp","Quality","Manufacturer","Phone Model","OS","Rooted","Baseband version","Source","Encoder","Application Location","Version","User Message"
"3/11/2018 18:47:20","Voice Line Quality","LGE","LG-LS993","3.18.31-perf-gd7d6855-00004-g8f3c1e9, Android: 7.0","No","MPSS.TH.2.0.1.c3.1-00018-M8996FAAAANAZM-1","Voice Line","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33","It would be nice to have a user guide on how to get the best recording quality."
"3/11/2018 23:20:14","Mic Quality","motorola","Moto E","3.4.112-g67cb120, 14.1-20180310-NIGHTLY-otus, Android: 7.1.2","Yes","MSM8610BP_18033.4614.44.00R","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33","LineageOS 14.1"
"3/12/2018 1:27:20","Mic Quality","HUAWEI","Honor 4x","3.10.86-gd440d8c, Android: 6.0","Yes","22.300.01.00.00,22.300.01.00.00","Mic","3gp, aac","User Installed","1.5.32",""
"3/12/2018 14:46:14","Voice Line Quality","HUAWEI","HUAWEI VNS-L21","4.1.18-gb6ec11c, Android: 7.0","Yes","21.286.00.00.050,21.286.00.00.050","System Default","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32",""
"3/13/2018 0:41:04","Voice Line Quality","Archos","Archos Access 50 4G","3.10.65, Android: 7.0","Yes","FM_BASE_15C_W17.10.2_P2|sc983x_modem|04-14-2017 19:38:30","System Default","3gp, aac","User Installed","1.5.33",""
"3/13/2018 10:04:19","Voice Line Quality","Xiaomi","Redmi Note 4","3.18.31-perf-g3180dc0, 14.1-20180303-NIGHTLY-mido, Android: 7.1.2","No","953_GEN_PACK-1.122638.1.123338.1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33","No caller voice recorded"
"3/13/2018 11:43:34","Voice Line Quality","HUAWEI","CAM-L21","3.10.86-g10e01b9, Android: 6.0","No","22.355.06.00.00,22.355.06.00.00","Auto (default)","3gp, aac","User Installed","1.5.32",""
"3/13/2018 14:30:03","Low Bandwidth My Side","samsung","SM-G390F","3.18.14-12298008, Android: 7.0","Yes","G390FXXU1AQI2","Voice Line","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33",""
"3/14/2018 15:44:25","Voice Line Quality","samsung","SM-J500H","3.10.49-12221778, Android: 6.0.1","No","J500HXXU2BQA1","Auto (default)","3gp, aac","User Installed","1.5.32",""
"3/16/2018 12:45:27","Recording starts 4-5 sec later on incomings calls","HUAWEI","BLA-L29","4.4.23 , Android: 8.0.0","No","21C10B551S000C000,21C10B551S000C000","Voice Line","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.33","Please check incomings calls starts  to late - about 3-5 sec later then call is actually recivied. "
"3/19/2018 12:41:44","Voice Line Quality","HUAWEI","HUAWEI NXT-L29","3.10.86-g4eebdaf, Android: 6.0","No","21.739.00.00.031,21.739.00.00.031","Auto (default)","3gp, aac","User Installed","1.5.32",""
"3/19/2018 15:39:05","Do not recorder calls","Ulefone","T1","4.4.15, Android: 7.0","No","MOLY.LR11.W1630.MD.MP.V14.P14, 2017/07/31 14:52","Auto (default)","3gp, aac","User Installed","1.5.33","I'm said"
"3/19/2018 23:22:35","Mic Quality","samsung","SM-G935F","3.18.14-12365438, Android: 7.0","No","G935FXXU1DQIL","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32",""
"3/20/2018 7:50:40","Voice Line Quality","OnePlus","ONE A2003","3.10.108-perf , Android: 8.1.0","Yes","MPSS.BO.2.6.2.c1-00072-M8994FAAAANAZM-1.82470.1","Auto (default)","3gp, aac","User Installed","1.5.33","Thanks"
"3/20/2018 16:15:13","Gives error: cannot record phonecall","FP1","FP1U","3.4.5, Android: 4.2.2","Yes","MOLY.WR8.W1248.MD.WG.MP.V14.F1.P1, 2014/07/14 13:31","Auto (default)","3gp, aac","User Installed","1.5.33",""
"3/22/2018 22:54:38","Voice Line Quality","HUAWEI","HUAWEI SCL-U31","3.4.67, Android: 5.1.1","Yes","MOLY.WR8.W1315.MD.WG.MP.V62, 2016/07/06 18:34","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","کمپ"
"3/23/2018 15:49:35","No Opponent Side","motorola","Moto G (5S) Plus","3.18.31-perf-gaf9c281, Android: 7.1.1","No","M8953_27.36.07.41R SANDERS_INDIADSDS_CUST","Voice Recognition","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Almost in all no oponent recording
Is my handset doesn't support call recording"
"3/25/2018 1:55:10","Voice Line Quality","Google","Pixel 2","4.4.88-ga1592dc22912, Android: 8.1.0","Yes","g8998-00164-1710262031","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.1",""
"3/25/2018 12:10:24","No Opponent Side","samsung","SM-G900P","3.4.113-nethunter-klte-spr-3.0, 14.1-20180316-NIGHTLY-kltedv, Android: 7.1.2","Yes","G900PVPS3CQD1","Auto (default)","3gp, aac","User Installed","1.6.3","Worked great on my Nexus 6, Galaxy S5 opponent quality suffers. I use the app to record precious moments with my family. Thank you for the app."
"3/26/2018 18:40:38","Audio recording error: start failed.","motorola","Moto G (5)","3.18.31-perf-gd7ea90c, Android: 7.0","No","M8937_22.29.02.56R CEDRIC_BRAZILDSDS_CUST","Auto (default)","3gp, aac","User Installed","1.6.3","Getting error, not sure what might be."
"3/26/2018 20:37:03","Mic Quality","LG","LG-D221","3.4.67, Android: 4.4.2","No","MOLY.WR8.W1338.MD.WG.TC01.SP.V5.P5, 2014/06/20 20:57","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Great app, need an option to remove empty calls & silence"
"3/26/2018 22:53:08","Voice Line Quality","ZTE","Z958","3.10.49-g3d22cfa-00580-g8c88acd, Android: 5.1","No","2-00011-M8936FAAAANUZM-1.25863.1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3",""
"3/27/2018 15:15:38","Low Bandwidth Opponent Side","Huawei","Nexus 6P","3.10.73-ElementalX-N6P-4.14, Android: 7.1.2","Yes",".2.6.1.c4-00008-M8994FAAAANAZM-1","System Default","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3",""
"3/27/2018 21:12:42","Voice Line Quality","samsung","SM-S550TL","3.10.9-8489251, Android: 6.0.1","Yes","S550TLUDU1APG1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3",""
"3/28/2018 14:21:21","Not saving recordings even after giving tick to record.where does saving goes not seen in storage too","OnePlus","ONEPLUS A3003","3.18.66-perf , Android: 8.0.0","No","MPSS.TH.2.0.c1.9-00102-M8996FAAAANAZM-1.99649.1.118107.1","Auto (default)","3gp, aac","User Installed","1.6.3","Not working in this version phone.please tell me whatcdo"
"3/28/2018 22:33:54","Voice Line Quality","samsung","SM-J710F","3.18.14-12710698, Android: 7.0","No","J710FXXU4BRA5","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","متشکریم"
"3/29/2018 16:38:04","Low Bandwidth Opponent Side","motorola","Moto G (4)","3.10.84-g061c37c, Android: 6.0.1","No","M8952_70009.08.03.48R ATHENE_EMEA_DSDS_CUST","Voice Line","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Opponent Side is to Low"
"3/30/2018 16:40:09","Voice Line Quality","HUAWEI","CAM-L21","3.10.86-ga8f7cac-dirty, Android: 6.0","No","22.355.08.00.00,22.355.08.00.00","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/2/2018 15:34:35","Voice Line Quality","samsung","SM-G610F","3.18.14-12721818, Android: 7.0","No","G610FDDU1BQJ4","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/2/2018 15:35:18","Voice Line Quality","samsung","SM-G610F","3.18.14-12721818, Android: 7.0","No","G610FDDU1BQJ4","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/3/2018 6:56:01","My Side Muted to the opponent","samsung","GT-I9060I","3.10.17-767368, Android: 4.4.4","Yes","I9060IXXU0APJ3","Voice Line","3gp, aac","User Installed","1.5.32",""
"4/3/2018 8:52:18","Voice Line Quality","TCL","Alcatel_7049D","3.10.65, Android: 5.1","No","MOLY.LR9.W1444.MD.LWTG.MP.V16.P11, 2015/09/03 11:27","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Tambahkan fitur agar bisa merekam panggilan dan panggilan video WhatsApp, line, atau BBM!  "
"4/3/2018 13:00:07","Could not record calls","motorola","XT1562","3.10.49-gd043ad1-00008-gbcf239c, Android: 7.1.1","No","M8936_20250112.18.05.38R LUX_EMEA_DSDS_CUST","Auto (default)","3gp, aac","User Installed","1.6.3","Could not record calls"
"4/4/2018 9:06:30","muted all sides, no any sounds","vernee","thor","3.18.35 , Android: 7.0","No","MOLY.LR9.W1444.MD.LWTG.MP.V110.5.P4, 2016/12/06 15:25","System Default","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Не работает"
"4/4/2018 21:58:39","Voice Line Quality","samsung","SM-G570F","3.18.14-12687762, Android: 7.0","Yes","G570FXXU1BQI6","Voice Line","3gp, aac","User Installed","1.5.32",""
"4/5/2018 12:16:44","Voice Line Quality","Google","Pixel","3.18.70-g0de8712, Android: 8.1.0","No","8996-130091-1710201747","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Switch to ogg the default 3gp did not work"
"4/5/2018 12:28:19","Voice Line Quality","LGE","LG-K500","3.10.49-g62a60bd-00008-ge9ab332, Android: 6.0.1","Yes","MPSS.DPM.2.0.c11-00058-M8936FAAAANUZM-4.53954.1.85937.1","Voice Line","3gp, aac","User Installed","1.5.32",""
"4/6/2018 11:33:39","Mic Quality","HUAWEI","ALE-L21","3.10.86-g9864f0c, Android: 6.0","No","22.300.06.00.00,22.300.06.00.00","Mic","3gp, aac","User Installed","1.5.32",""
"4/7/2018 2:40:02","Voice Line Quality","HUAWEI","HUAWEI Y330-U11","3.4.5, Android: 4.2.2","No","MOLY.WR8.W1315.MD.WG.MP.V15.P10, 2014/03/18 08:36","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/7/2018 17:24:05","Voice Line Quality","samsung","SM-J200H","3.10.65-803547, Android: 5.1.1","Yes","J200HXXU0AOJ2","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/8/2018 12:17:42","Mic Quality","samsung","SM-J710F","3.18.14-12710698, Android: 7.0","No","J710FXXU4BRA5","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/10/2018 1:30:21","Voice Line Quality","samsung","GT-S5830i","2.6.35.7, Android: 2.3.6","No","unknown","Auto (default)","3gp, aac","User Installed","1.6.3",""
"4/10/2018 1:31:36","Voice Line Quality","samsung","GT-S5830i","2.6.35.7, Android: 2.3.6","No","unknown","Auto (default)","3gp, aac","User Installed","1.6.3",""
"4/11/2018 14:40:20","Voice Line Quality","HUAWEI","ALE-L21","3.10.86-gd440d8c, Android: 6.0","No","22.300.01.00.00,22.300.01.00.00","System Default","3gp, aac","User Installed","1.5.32",""
"4/11/2018 14:40:26","Voice Line Quality","HUAWEI","ALE-L21","3.10.86-gd440d8c, Android: 6.0","No","22.300.01.00.00,22.300.01.00.00","System Default","3gp, aac","User Installed","1.5.32",""
"4/15/2018 11:21:33","Voice Line Quality","ZTE","NX597J","3.18.19, Android: 6.0","No","MOLY.LR9.W1444.MD.LWTG.MP.V88.P40, 2017/04/12 18:03","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.3","Great app! Simple, Useful and Lite on memory.
Anyway, the app can not listing audio recording files created by others app, even I have put all files in one folder ""Recording"".
Can you make your app to be able to read other files other than created by your app? Eg: .wav, .mp3, .amr, .awb, .vmo.

Best Regards and Thank You!
"
"4/15/2018 17:44:32","Voice Line Quality","motorola","Nexus 6","Android: 8.1.0, 3.10.108-gadde64c","Yes","MDM9625_104670.31.05.51R","Auto (default)","3gp, aac","User Installed","1.6.5","Working perfectly, thank you so much!!!"
"4/16/2018 11:19:26","Voice Line Quality","samsung","SM-J710F","3.18.14-12710698, Android: 7.0","No","J710FXXU4BRA5","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/16/2018 11:58:18","Voice Line Quality","Sony Ericsson","LT18i","2.6.32.9-perf, Android: 4.0.4","Yes","8x55A-AAABQOAZM-203028G-73","System Default","ogg, wav, flac, m4a, mp3, opus","User Installed","1.5.32","ارا"
"4/17/2018 14:48:52","Voice Line Quality","samsung","SM-A720F","3.18.14-12598883, Android: 7.0","Yes","A720FXXU3BRB6","Auto (default)","3gp, aac","User Installed","1.5.32",""
"4/18/2018 4:56:14","Voice Line Quality","Xiaomi","MI 5","Android: 8.1.0, 3.18.71-g6ce5ed19f8ba","Yes","TH20c1.9-0404_0019_21a98e6","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5",""
"4/18/2018 23:48:43","Voice Line Quality","HUAWEI","HUAWEI LUA-U22","Android: 5.1, 3.10.72 ","No","MOLY.WR8.W1449.MD.WG.MP.V32.P10, 2016/03/17 14:33","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/19/2018 11:08:02","No Opponent Side","Nextbit","Robin","Android: 8.1.0, 3.10.108-lineageos-ga0c36a6","Yes","M8992FAAAANAAM","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","Another closed source rooted app worked. I wonder why this app is not asking for root even when my phone is rooted.. probably why it doesn't work. "
"4/21/2018 5:09:01","Voice Line Quality","HUAWEI","ALE-L21","Android: 6.0, 3.10.86-g9864f0c","Yes","22.300.06.00.00,22.300.06.00.00","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5",""
"4/23/2018 6:15:09","Voice Line Quality","samsung","SM-A310F","Android: 7.0, 3.10.61-11350514","No","A310FXXU3CQK2","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5",""
"4/23/2018 9:00:50","does not word","samsung","SM-G935F","Android: 7.0, 3.18.14-12365438","No","G935FXXU2DRAG","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/24/2018 0:29:47","Voice Line Quality","HTC","HTC One A9s","Android: 6.0, 3.18.22-perf-01010-g916700f","No","1.1634V1P20T17.4000.611041_EU","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/25/2018 7:10:48","Voice Line Quality","OnePlus","ONEPLUS A3003","Android: 8.0.0, 3.18.66-perf ","Yes","MPSS.TH.2.0.c1.9-00102-M8996FAAAANAZM-1.99649.1.118107.1","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/26/2018 15:51:41","Mic Quality","samsung","SM-G532F","Android: 6.0.1, 3.18.19-9364647","No","G532FXXU1APJ7","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/27/2018 10:08:49","Mic Quality","samsung","SM-G532F","Android: 6.0.1, 3.18.19-9364647","No","G532FXXU1APJ7","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/27/2018 10:14:58","Mic Quality","samsung","SM-G532F","Android: 6.0.1, 3.18.19-9364647","No","G532FXXU1APJ7","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/27/2018 19:14:40","Mic Quality","samsung","SM-G532F","Android: 6.0.1, 3.18.19-9364647","No","G532FXXU1APJ7","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/27/2018 20:08:54","Mic Quality","samsung","SM-G532F","Android: 6.0.1, 3.18.19-9364647","No","G532FXXU1APJ7","Auto (default)","3gp, aac","User Installed","1.6.5",""
"4/28/2018 11:21:19","Mic Quality","motorola","XT1032","Android: 5.0.2, 3.4.42-gdd242b0","Yes","MSM8626BP_1032.390.81.01P EMEA_CUST","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","can only hear other person from what is picked up by mic, cool app though"
"4/30/2018 2:48:20","Mic Quality","Nokia","Nokia_X","Android: 4.1.2, 3.4.0-perf","No","8X25-SSRSKOLYM-3072","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5",""
"4/30/2018 2:49:01","Mic Quality","Nokia","Nokia_X","Android: 4.1.2, 3.4.0-perf","No","8X25-SSRSKOLYM-3072","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5",""
"5/1/2018 21:09:32","Voice Line Quality","Xiaomi","MI 5","Android: 8.1.0, 3.18.105-Omni","Yes","TH20c1.9-0131_1822_e441f9f","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","Thanks developer for this high quality call recording app. It would have been nice if you can add filter option for call recording group. I.E. user have the ability to select which contact to record and which not to."
"5/1/2018 22:29:37","Mic Quality","samsung","GT-I9060I","Android: 4.4.4, 3.10.17-1139335","No","I9060IXXU0APJ3","Auto (default)","3gp, aac","User Installed","1.6.5",""
"5/3/2018 16:49:35","Voice Line Quality","HUAWEI","HUAWEI Y560-U02","Android: 4.4.2, 3.10.17","No","TM_BASE_MP_II_HUAWEI_W15.42|sc7731g_CP0_modem|10-28-2015 15:47:31","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","کارنمیکند
"
"5/4/2018 6:00:21","Mic Quality","HUAWEI","HUAWEI Y560-U02","Android: 4.4.2, 3.10.17","No","TM_BASE_MP_II_HUAWEI_W15.42|sc7731g_CP0_modem|10-28-2015 15:47:31","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5",""
"5/4/2018 9:27:26","No Opponent Side","samsung","SM-G570F","Android: 7.0, 3.18.14-12687762","No","G570FXXU1BQI6","Auto (default)","3gp, aac","User Installed","1.6.5",""
"5/4/2018 12:00:09","No Opponent Side","Xiaomi","Mi A1","Android: 8.0.0, 3.18.66-perf-g51da785","No","953_GEN_PACK-1.130033.1.131132.1","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","Only records my voice"
"5/4/2018 20:57:45","Voice Line Quality","HUAWEI","BND-L21","Android: 7.0, 4.1.18-g1c5648e-dirty","No","21C60B269S002C000,21C60B269S002C000","Voice Line","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","Hello. 

The application works perfectly with all the recording sources and all the formats. 

Could you add an icon in the status bar and a permanent notification?
The application is stopped despite having disabled the battery optimization under Android Nougat. 

Thank you, cordially."
"5/5/2018 23:06:45","Voice Line Quality","TCL","4009A","Android: 4.4.2","No","6572M","Auto (default)","ogg, wav, flac, m4a, mp3, opus","User Installed","1.6.5","Thank you for share this app."
"5/6/2018 2:36:15","Mic Quality","samsung","SM-A720F","Android: 7.0, 3.18.14-12598883","No","A720FXXU3BRB6","Auto (default)","3gp, aac","User Installed","1.6.5",""
"5/8/2018 20:01:15","Voice Line Quality","samsung","SM-G610F","Android: 7.0, 3.18.14-13115588","No","G610FDDU1BRC1","Auto (default)","3gp, aac","User Installed","1.6.5",""
"5/10/2018 7:08:43","Voice Line Quality","HMD Global","TA-1033","Android: 8.1.0, 3.18.71-perf","No","MPSS.JO.3.0-00428-8937_GENNS_PACK-2.136685.1.140413.1","Auto (default)","3gp, aac","User Installed","1.6.5",""
"5/10/2018 19:26:40","Cannot recorded any voice coll, It's almost bojhaa, Totally poor","LENOVO","Lenovo A6020a46","Android: 5.1.1, 3.10.49-perf-g4714f7e","No","M8936FAAAANUZM-1.68259.1.69229.1","Auto (default)","3gp, aac","User Installed","1.6.5","I cannot like it"
